kanji,meanings,radical,components,complexity
換,interchange; period; change; convert; replace; renew,手,大 儿 冂 勹 扌,12
敢,daring; brave; bold; sad; tragic; pitiful,攴,耳 攵 𠂉,12
柑,citrus; orange,木,日 木 甘,9
桓,marking post,木,一 日 木,10
棺,coffin; casket,木,口 木 宀 ｜,12
款,goodwill; article; section; friendship; collusion,欠,欠 士 示 二 小,12
歓,delight; joy,欠,欠 隹 矢 𠂉,15
汗,sweat; perspire,水,干 氵,6
漢,Sino-; China,水,氵 艹 口 一 大 二,13
澗,valley river; 10**36,水,氵 日 門,15
潅,pour into; irrigate; shed (tears); flow into; concentrate on,水,氵 隹 矢 𠂉,14
環,ring; circle; loop,玉,衣 王 口 罒 一,17
甘,sweet; coax; pamper; be content; sugary,甘,甘,5
監,oversee; official; govt office; rule; administer,皿,皿 臣 二 𠂉,15
看,watch over; see,目,ノ 一 手 二 目,9
竿,pole; rod; scale beam; violin neck,竹,干 竹 𠂉,9
管,pipe; tube; wind instrument; drunken talk; control; jurisdiction,竹,口 竹 宀 ｜ 𠂉,14
簡,simplicity; brevity,竹,竹 日 門 𠂉,18
緩,slacken; loosen; relax; lessen; be moderate; ease,糸,糸 幺 小 爪 一 ノ 又,15
缶,tin can; container; jar radical (no. 121),缶,缶 凵 山,6
翰,letter; writing brush,羽,羽 十 日 𠆢 冫,16
肝,liver; pluck; nerve; chutzpah,肉,干 月,7
艦,warship,舟,皿 舟 臣 二 𠂉,21
莞,smiling; reed used to cover tatami,艸,二 儿 宀 艹 元,10
観,outlook; look; appearance; condition; view,見,見 隹 矢 𠂉,18
諌,admonish; dissuade,言,｜ 言 日 木 田,15
貫,pierce; 8 1/3lbs; penetrate; brace,貝,貝 目 ハ 母 毋,11
還,send back; return,辵,衣 口 辶 罒 一,16
鑑,specimen; take warning from; learn from,金,金 皿 臣 二 𠂉,23
間,interval; space,門,日 門,12
閑,leisure,門,木 門,12
関,connection; barrier; gateway; involve; concerning,門,人 大 二 ハ 門 丷 一,14
陥,collapse; fall into; cave in; fall (castle); slide into,阜,｜ 日 勹 阝,10
韓,Korea,韋,十 日 韋 口,18
館,building; mansion; large building; palace,食,口 食 宀 ｜,16
舘,mansion; large building; palace,舌,干 口 𠆢 宀 ｜,16
丸,round; full (month); perfection; -ship; pills; make round; roll up; curl up; seduce; explain away,丶,九 丶,3
含,contain; include; hold in the mouth; bear in mind; understand; cherish,口,口 𠆢 一,7
岸,beach,山,干 山 厂,8
巌,rock; crag; boulder,山,山 耳 ⺌ 厂 攵 𠂉,20
玩,play; take pleasure in; trifle with; make sport of,玉,王 儿 二 元,8
癌,cancer; cancerous evil,疒,口 山 疒 品,17
眼,eyeball,目,艮 目,11
岩,boulder; rock; cliff,山,口 山 石,8
翫,take pleasure in; play instrument,羽,羽 白 儿 冫 元,15
贋,counterfeit; forgery,貝,亻 貝 目 ハ 厂 隹,19
雁,wild goose,隹,亻 厂 隹,12
頑,stubborn; foolish; firmly,頁,貝 目 ハ 頁 儿 二 元,13
顔,face; expression,頁,貝 目 ハ 頁 立 亠 厂 彡,18
願,petition; request; vow; wish; hope,頁,貝 目 ハ 小 白 頁 厂,19
企,undertake; scheme; design; attempt; plan,人,止 𠆢,6
伎,deed; skill,人,亻 支 又 十,6
