kanji,meanings,radical,components,complexity
潼,high,水,氵 里 立,15
潘,water in which rice has been washed,水,氵 田 釆 米,15
澎,turbulent water,水,口 十 氵 土 豆 丷 彡,15
澑,slide; glide; slip; slippery,水,｜ 一 氵 田,15
濂,name of Chinese river,水,｜ ヨ 氵 ハ 广,16
潦,heavy rainfall; runoff,水,氵 小 大 日 丷 亠,15
澳,curving shoreline; bend in river,水,氵 大 米 冂 釆,16
澣,wash,水,干 十 氵 日 𠆢,16
澡,wash,水,口 氵 木 品,16
澤,swamp,水,十 氵 辛 土 罒 立 亠,16
澹,calm; quiet; bland; rocking; rippling; suffice,水,言 氵 儿 厂,16
濆,gush forth,水,貝 目 ハ 十 氵 艹,15
澪,water route; shipping channel,水,雨 氵 𠆢 卩 一,16
濟,to help; aid; relieve; to ferry; cross,水,氵 亠 齊 刀 氏 廾,17
濕,wet; moist; humid; damp; an illness,水,氵 日 幺 灬,17
濬,deep; dredge,水,氵 ハ 卜 目 𠆢 冖,17
濔,much; many,水,｜ 一 氵 ハ 冂 爻,17
濘,muddiness,水,氵 心 罒 亅 宀 皿,17
濱,beach; sea coast; river bank,水,ノ 貝 目 ハ 氵 小 宀,17
濮,name of Chinese river,水,王 亻 氵 大 丷 羊,17
濛,dark,水,氵 冖 艹 豕,16
瀉,evacuation,水,臼 氵 勹 宀 灬,18
瀋,juice; broth,水,氵 田 釆 米 宀,18
濺,sprinkle; splash,水,貝 目 ハ 氵 戈,18
瀑,waterfall,水,｜ 一 氵 水 二 日 ハ,18
瀁,drift; flow; overflowing; vast,水,王 氵 食 丷 羊,18
瀏,clear,水,刂 金 氵,18
濾,filter,水,氵 田 心 厂 卜,18
瀛,ocean; swamp,水,亡 月 口 氵 女 丶 几,19
瀚,wide & large,水,羽 十 氵 日 𠆢 冫,19
潴,pond; a pool,水,氵 日 犭 耂,15
瀝,dropping,水,止 氵 木 厂,19
瀘,name of river in China,水,皿 氵 田 卜 匕 厂 虍,19
瀟,pure; clean,水,｜ ノ ヨ 氵 水 艹,19
瀰,copious flow; broad; extensive,水,｜ 一 弓 氵 ハ 冂 爻,20
瀾,large waves,水,｜ 氵 田 日 木 門,20
瀲,brimming; rippling,水,口 氵 人 𠆢 攵 一 𠂉,20
灑,sprinkle; wash; free and easy,水,鹿 氵 比 冂 广,22
灣,gulf; bay; inlet,水,弓 言 糸 幺 小 氵,25
炙,roast; broil; toast; cauterize,火,火 夕 丶,8
炒,broil; parch; roast; fry,火,ノ 火 小,8
炯,light; clear,火,火 口 冂,9
烱,light; clear,火,火 口 儿 冂,11
炬,torch; signal fire,火,火 匚 巨,9
炸,frying; explosion,火,｜ ノ 火,9
炳,clear & bright,火,一 火 人 冂,9
炮,burn; roast,火,火 勹 已,9
烟,smoke,火,火 大 囗,10
烋,boasting; fortunate; beautiful,火,亻 木 灬,10
烝,many; offer; dedicate; to steam,火,一 水 亅 灬,10
烙,burn,火,火 口 夂,10
焉,how; why; then,火,一 止 灬,11
烽,signal fire,火,｜ 火 二 夂,11
焜,shine,火,火 日 比,12
焙,fire; roast,火,火 口 立,12
煥,shine,火,火 大 儿 冂,13
煕,shine,火,臣 匚 已 灬,13
熈,shine,火,ノ 臣 卩 已 灬,15
煦,warm,火,口 日 勹 灬,13
煢,all alone; without any family; worry,火,乙 火 十 冖,13
煌,glitter; gleam; twinkle,火,王 火 白,13
煖,warm,火,ノ 一 火 爪 又,13
煬,roast; burn,火,ノ 火 日 勿 一 勹,13
熏,smoke; fog; vapor; cure,火,｜ ノ 田 日 灬,14
燻,smoulder; fume; oxidize,火,｜ ノ 火 田 日,18
熄,cessation,火,火 自 心 目,14
熕,cannon; (kokuji),火,火 貝 目 ハ 工,14
熨,flatiron; smooth out,火,火 示 二 小 寸 尸,15
熬,parch; roast,火,土 方 攵 灬 𠂉,15
燗,warming sake,火,火 月 門,16
熹,burn; faint light,火,口 士 十 豆 丷 灬,16
熾,kindling fire,火,音 火 日 立 戈,16
燒,burn; bake; heat; roast,火,火 土 儿,16
燉,fiery,火,火 口 子 亠 攵 𠂉,16
燔,burn,火,火 田 釆 米,16
燎,burn; bonfire,火,火 小 大 日 丷 亠,16
燠,embers,火,火 大 米 冂 釆,17
燬,blaze,火,臼 王 火 殳 几 又,17
燧,signal fire,火,火 辶 丷 豕,17
燵,foot warmer; (kokuji),火,火 辶 土 丷 立 亠 二,17
燼,embers,火,｜ ヨ 火 皿 灬 聿,18
燹,prairie fire,火,火 豕,18
燿,shine,火,ヨ 火 隹,18
爍,shine; melt,火,火 白 木 冫,19
爐,fireplace; stove; oven; furnace,火,火 皿 田 卜 匕 厂 虍,20
爛,be sore; inflamed; bleary; fester,火,｜ 火 日 ハ 木 門,21
爨,cook; boil,火,火 ハ 木 冂 冖 一 大 口 臼,29
爭,to dispute; fight; contend; strive,爪,ヨ 爪 亅,8
爬,scratch; crawl,爪,爪 已 巴,8
爰,lead on to; therefore; then,爪,ノ 一 爪 又,9
爲,change; be of use; reach to; do; try; practice; cost; serve as,爪,爪 尸 灬,12
爻,to mix with; to associate with; to join; double X radical (no. 89),爻,爻,4
爼,altar of sacrifice; chopping board,爻,目 爻,9
爿,left-side kata radical (no. 90),爿,爿,4
牀,bed; couch; bench; chassis,爿,木 爿,8
牆,fence; hedge; wall,爿,口 人 土 囗 爿,17
牋,paper; label; letter; composition,片,片 戈,12
牘,letter,片,貝 目 ハ 士 片 儿 囗,19
牴,touch,牛,牛 氏,9
牾,go against; be contrary to,牛,牛 口 五,11
犂,plow,牛,ノ 禾 牛 勿,12
犁,plow,牛,禾 刂 牛,11
犇,clamour; crowded,牛,牛,12
犒,thanks; reward,牛,牛 口 高 亠 冂,14
犖,brindled cow; bright; excel,牛,火 牛 冖,14
犢,calf,牛,貝 目 ハ 牛 士 儿 囗,19
犧,sacrifice,牛,王 禾 牛 丷 羊 戈,20
犹,condition,犬,犭 丶 尤 尢,7
犲,wolf; cruel; wicked; mean,犬,ノ 一 犭 亅,6
狃,get used to; learn,犬,｜ 一 犭,7
狆,Pekinese dog; Japanese spaniel,犬,｜ 口 犭,7
狄,barbarian,犬,火 犭,7
狎,get used to; experienced; tamed,犬,｜ 日 犭 田,8
狒,baboon,犬,｜ ノ 弓 犭,8
狢,badger,犬,口 犭 夂,9
狠,vicious; cruel; severely; extreme,犬,艮 犭,9
狡,cunning; sly; crafty; miserly; mean; stingy,犬,犭 父 亠,9
狹,narrow; contract; reduce; tight; limited,犬,人 大 犭,10
狷,short-tempered,犬,月 口 犭,10
倏,quick; prompt,人,亻 犬 夂 攵 ｜,10
猗,luxuriant growth; gentle; docile,犬,口 大 犭 亅 一,11
猊,lion; the seat of a famous priest,犬,臼 犭 儿,11
猜,envy; jealousy; doubt,犬,月 青 土 二 犭 亠,11
猖,be insane; severe; violence,犬,日 犭,11
猝,sudden,犬,十 人 犭 亠,11
猴,monkey,犬,亻 犭 矢 𠂉,12
猯,wild boar,犬,山 而 犭,12
猩,orangutan; dark red,犬,生 日 犭,12
猥,obscene,犬,衣 田 犭,12
猾,crafty,犬,月 骨 犭 冂 冖,13
獎,prize; reward; give award to,犬,犬 寸 夕 爿,15
獏,tapir,犬,大 日 犭 艹,13
默,silent; quiet; still; dark,黑,犬 里 灬 黒,16
獗,storm around; be crazy,犬,欠 丷 犭 厂 屮,15
獪,crafty,犬,日 罒 犭 𠆢 一,16
獨,alone; spontaneously; Germany,犬,虫 罒 犭 勹,16
獰,bad,犬,心 罒 犭 亅 宀 皿,17
獸,beast; animal; bestial,犬,一 犬 口 田,19
獵,hunt; field sports,犬,臼 乙 口 巛 鼠 犭,18
獻,offer; present; show; display,犬,犬 口 卜 儿 冂 匕 厂 虍 鬲,20
獺,otter,犬,貝 目 ハ 口 犭 頁 木,19
珈,ornamental hairpin,玉,王 口 力,9
玳,tortoise shell,玉,王 亻 弋,9
珎,precious; valuable; rare,玉,王 小 𠂉,9
玻,glass,玉,王 皮 又,9
珀,amber,玉,王 白,9
珥,ear bauble; hilt,玉,王 耳,10
珮,bauble; jewel,玉,王 巾 几,10
珞,necklace,玉,王 口 夂,10
璢,precious stone,玉,｜ 一 王 田,16
琅,a precious stone,玉,王 艮,11
瑯,precious stone,玉,王 艮 阝,14
琥,jewelled utensil,玉,王 卜 儿 匕 厂 虍,12
珸,jewel,玉,王 口 五,11
琲,string of many pearls,玉,王 非,12
琺,enamel,玉,王 氵 土 厶,12
瑕,flaw; blemish,玉,｜ 王 又,13
琿,jewel,玉,王 車 冖,13
瑟,large koto,玉,ノ 王 心 丶,13
瑙,agate; onyx,玉,王 巛 囗,13
瑁,ancient Chinese imperial jewels,玉,王 目 冂,13
瑜,jewel,玉,王 刂 月 𠆢 一,13
瑩,clear,玉,王 火 冖,15
瑰,strange,玉,王 鬼 田 儿 匕 厶,14
瑣,small; chain,玉,王 貝 目 ハ ⺌,14
瑪,agate; onyx,玉,王 馬 灬,14
瑶,beautiful as a jewel,玉,王 缶 爪 凵,13
瑾,jewel,玉,｜ 一 王 口 艹 土 二,15
璋,ceremonial jeweled implement,玉,王 音 十 日 立 曰,15
璞,uncut gem; unpolished gem,玉,王 人 丷 羊 二 大,16
璧,sphere; ball,玉,王 口 十 辛 立 尸,18
瓊,red jewel; beautiful jewel,玉,王 目 冂 夂,18
瓏,clarity; sound of jewels,玉,王 月 立,20
瓔,jewelled necklace,玉,王 貝 目 ハ 女,21
珱,a necklace made of precious stones,玉,王 女 ⺌,10
瓠,gourd,瓜,瓜 大,12
瓣,petal; valve,瓜,瓜 十 辛 立,20
瓧,ten grams; (kokuji),瓦,瓦 十,7
瓩,kilogram; (kokuji),瓦,ノ 瓦 十,8
瓮,jar; jug; container,瓦,瓦 ハ 厶,9
瓲,tonne; thousand kilograms; (kokuji),瓦,瓦 屯,9
瓰,decigram; (kokuji),瓦,瓦 刀 ハ,9
瓱,milligram; (kokuji),瓦,瓦 毛,9
瓸,hectogram; hundred grams; (kokuji),瓦,一 瓦 白 日,11
瓷,high quality porcelain,瓦,瓦 欠 冫,11
甄,porcelain; make clear; distinguish between,瓦,瓦 西 土,14
甃,floor tile,瓦,火 禾 瓦,14
甅,centigram; (kokuji),瓦,瓦 里 厂,14
甌,small jar; jug,瓦,瓦 口 匚 品,16
甎,floor tiles,瓦,瓦 十 寸 虫 田 亠,16
甍,roof tile; tiled roof,瓦,瓦 罒 冖 艹,15
甕,jar; jug; vat,瓦,瓦 亠 幺 隹,18
甓,floor tiles,瓦,瓦 口 十 辛 立 尸,18
甞,lick; lap up; burn up; taste; undergo; underrate; despise,甘,甘 口 ⺌ 冖,13
甦,be resuscitated; revived,生,一 生 日 田 ノ,12
甬,road with walls on both sides,用,用,7
甼,town; block,田,一 田 亅,7
畄,fasten; halt; stop,田,⺌ 田,8
畍,circle; world,田,｜ ノ 田 𠆢,9
畊,plow; cultivate,田,｜ ノ 田 二 井,9
畉,till; cultivate,田,人 田 二 大,9
畛,boundary between paddies,田,田 𠆢 彡,10
畆,Chinese land measure; fields,田,田 亠 厶,9
畚,basket; hamper,田,大 田 厶,10
畩,surplice; (kokuji),田,衣 田 亠,11
畤,festival grounds,田,寸 田 土,11
畧,abbreviation; omission; outline; shorten; capture; plunder,田,口 田 夂,11
畫,picture; sketch; drawing; stroke; mark; divide,田,一 田 聿,12
畭,new field,田,工 小 田 𠆢 一,12
畸,difference; strange; cripple,田,口 大 田 亅 一,13
當,bear; accept; undertake; just,田,口 ⺌ 田 冖,13
疆,boundary,田,一 弓 田 土,19
疇,before; companion; same kind,田,口 工 士 寸 田,19
畴,farmland; arable land; category,田,ノ 一 寸 田 二,12
疊,tatami; counter for tatami mats; fold; shut up; do away with,田,田 目 冖,22
疉,repeat; duplicate; repetitious,田,ヨ 田 宀,22
疂,counter for tatami mats; fold,田,田 目 冖 冫,16
疔,carbuncle,疒,一 亅 疒,7
疚,ashamed; painful; guilty conscience,疒,ノ 入 疒 久,8
疝,colic; stomach ache,疒,山 疒,8
疥,scabby eruption,疒,｜ ノ 𠆢 疒,9
疣,wart,疒,丶 尤 疒 尢,9
痂,scab; dry up; slough,疒,口 力 疒,10
疳,children's diseases,疒,甘 疒,10
痃,cramps,疒,亠 幺 疒 玄,10
疵,crack; flaw; scratch; speck,疒,止 匕 疒,11
疽,carbuncle,疒,目 疒,10
疸,jaundice,疒,一 日 疒,10
疼,ache; pain; tingle; fester,疒,冫 夂 疒 丶,10
疱,smallpox; blister,疒,勹 已 疒,10
痍,injury,疒,弓 人 大 疒,11
痊,heal,疒,王 𠆢 疒,11
痒,itchy,疒,王 丷 羊 疒,11
痙,have a cramp,疒,工 巛 疒,12
痣,birthmark; mole,疒,士 心 疒,12
痞,constipation; costiveness in chest or intestines,疒,｜ ノ 一 口 丶 疒,12
痾,chronic illness,疒,口 亅 疒 阝 一,13
痿,atrophy; go numb; be paralysed,疒,禾 女 疒,13
痼,chronic illness,疒,口 十 囗 疒,13
瘁,take sick; fatigue,疒,十 人 亠 疒,13
痰,sputum; phlegm,疒,火 疒,13
痺,palsy; become numb; paralysed,疒,十 田 疒,13
痲,measles; paralysis,疒,十 木 儿 疒,13
痳,gonorrhea,疒,木 疒,13
瘋,insanity; headache,疒,風 疒 虫 几,14
瘍,swelling; boil; tumor,疒,ノ 一 日 勹 疒 勿,14
瘉,get well; recover,疒,刂 月 𠆢 疒 一,14
瘟,contagious disease,疒,皿 日 疒,15
瘧,ague; intermittent fever,疒,卜 匕 厂 疒 虍,14
瘠,get thin; lose weight; become sterile,疒,月 疒 人 二,15
瘡,wound; boil; syphilis,疒,口 𠆢 尸 疒 一,15
瘢,scar,疒,舟 殳 疒 几 又,15
瘤,lump; swelling,疒,田 刀 厶 疒,15
瘴,miasma,疒,音 十 日 立 曰 疒,16
瘰,swollen neck glands,疒,糸 幺 小 田 疒,16
瘻,fistula,疒,｜ 一 口 女 疒,16
癇,bitter; hot temper; irritable; nervous,疒,日 月 門 疒,17
癈,chronic illness; getting crippled,疒,二 儿 疒 癶,17
癆,rash; pain; debilitation,疒,火 力 冖 疒,17
癜,leucoderma; piebald skin,疒,ハ 尸 殳 疒 几 又,18
癘,contagious disease; leprosy,疒,田 疒 禸 艹,17
癡,foolish,疒,疋 矢 匕 疒 𠂉,19
癢,itchy,疒,王 食 丷 羊 疒,20
癨,heatstroke; sunstroke,疒,雨 疒 隹,21
癩,leprosy,疒,貝 目 ハ 口 頁 木 疒,21
癪,spasms; (kokuji),疒,禾 貝 目 ハ 土 二 亠 疒,21
癧,swollen neck glands,疒,止 木 厂 疒,21
癬,ringworm,疒,王 丷 羊 疒 魚 田 灬,22
癰,boil; carbuncle,疒,口 巛 巴 疒 隹,23
癲,insanity,疒,貝 十 ハ 頁 目 疒,24
癶,dotted tent radical (no. 105),癶,癶,5
癸,10th calendar sign,癶,大 二 癶 一,9
發,departure; publish; emit; start from; disclose,癶,弓 殳 癶 几 又,12
皀,fragrant; grain,白,白 匕,7
皃,countenance; appearance,白,白 儿,7
皈,homecoming; arrive at; lead to; result in,白,白 又 厂,9
皋,the high land along a river,白,十 大 白,10
皎,white; shining,白,白 父 亠,11
皖,Venus; morning star; place name,白,二 白 儿 宀 元,12
皓,white; clear,白,ノ 口 土 白,12
皙,clear,白,斤 白 木,13
皚,white,白,口 山 豆 白 丷,15
皰,pimple,皮,皮 又 勹 已,10
皴,wrinkles; cracking; creases,皮,皮 又 儿 厶 夂,12
皸,skin cracks or roughness,皮,車 皮 又 冖,14
皹,skin cracks or roughness,皮,車 皮 又 冖,14
皺,wrinkles; creases; folds,皮,皮 又 勹 屮,15
盂,bowl,皿,皿 二 亅,8
盍,come together; congregate; meet; cover,皿,皿 土 厶,10
盖,cover; lid; flap,皿,王 皿 丷 羊,11
盒,covered utensil,皿,口 皿 𠆢 一,11
盞,sake cup,皿,皿 戈,13
盡,exhaust; use up; run out of; deplete; befriend; serve,皿,ヨ 皿 聿,14
盥,tub; washbasin,皿,臼 皿 水,16
盧,hut,皿,皿 田 卜 匕 厂 虍,16
盪,melt; be charmed; captivated,皿,ノ 皿 氵 日 勹 一,17
蘯,to toss about; to swing; to rock,艸,ノ 皿 氵 日 勹 艹 一,20
盻,glare at; toil,目,ハ 目 一 勹,9
眈,watch intently,目,目 尢 冖,9
眇,minuteness; squint,目,ノ 小 目,9
眄,looking askance,目,目 一 山 亅,9
眩,faint; dizzy,目,玄 目 亠 幺,10
眤,glance at; gaze at,目,目 匕 尸,10
眞,truth; reality; Buddhist sect,目,ハ 目 匕,10
眥,outside the corner of the eye,目,止 目 匕,11
眦,corner of the eyes; eyesockets,目,止 目 匕,11
眛,dark,目,｜ 二 ハ 木 目,10
眷,look around; regard affectionately,目,人 大 二 丷 目,11
眸,pupil of the eye,目,牛 目 厶,11
睇,looking askance at,目,｜ ノ 弓 丷 目,12
睚,glare; angry look,目,土 目 厂,13
睨,glaring at; authority; power; scowl at,目,臼 目 儿,13
睫,eyelashes,目,｜ ヨ 走 土 目,13
睛,pupil of the eye,目,月 青 土 二 目 亠,13
睥,glare at,目,十 田 目,13
睿,intelligence; imperial,目,ハ 卜 目 𠆢 冖,14
睾,testicles,目,十 辛 土 罒 目 立 亠,14
睹,look at; see,目,日 目 耂,14
瞎,blind eye; one eye,目,口 土 二 目 亠 宀,15
瞋,be angry,目,十 ハ 目,15
瞑,sleep; dark; close eyes,目,日 ハ 目 亠 冖,15
瞠,stare intently,目,口 ⺌ 土 目 冖,16
瞞,deception,目,｜ 一 入 目 冂 凵,16
瞰,look; see,目,耳 目 攵 𠂉,17
瞶,see everything,目,｜ 一 貝 ハ 口 目,17
瞹,hidden; unclear,目,心 爪 目 冖 夂,18
瞿,surname,目,目 隹,18
瞼,eyelids,目,口 人 目 𠆢 一,18
瞽,blind person,目,口 士 支 十 豆 丷 目 又 鼓,18
瞻,look at,目,言 目 儿 厂 勹,18
矇,blind,目,目 冖 艹 豕,18
矍,surprise & confusion,目,又 目 隹,20
矗,luxuriance,目,十 目 ｜ 一,24
矚,look intently,目,虫 罒 目 勹 尸,26
矜,pride; respect,矛,矛 𠆢 マ 一,9
矣,sentence particle,矢,矢 厶 𠂉,7
矮,low; short,矢,禾 女 矢 𠂉,13
矼,stepping stone; hard; serious minded,石,口 工 石,8
砌,time; occasion,石,口 石 刀 匕,9
砒,arsenic,石,口 石 比,9
礦,mine; mineral; ore,石,黄 口 石 田 ハ 广,20
砠,stony hill; stony mountain,石,口 石 目,10
礪,whetstone; polish,石,口 石 田 厂 禸 艹,19
硅,silicon,石,口 石 土,11
碎,break; smash; broken; busted,石,口 十 人 石 亠,13
硴,oyster; (kokuji),石,亻 口 石 匕 艹,12
碆,arrowhead; weight attached to an arrow by a cord,石,口 氵 石 皮 又,13
硼,sound of stones struck together; boron,石,月 口 石,13
碚,mound; bud,石,口 石 立,13
碌,satisfactory,石,ヨ 口 水 石 隶,13
碣,round stone; monument,石,口 石 日 勹 匕 人 一 ｜,14
碵,cornerstone; large; great; eminent,石,貝 目 ハ 口 石 卜,14
碪,stone slab used for washing clothes; an anvil,石,甘 口 石 儿 匚,14
碯,agate,石,口 石 巛 囗,14
磑,mortar; hand mill,石,口 山 石 豆 丷,15
磆,stone implement,石,月 口 骨 石 冂 冖,15
磋,polish,石,王 口 工 石 丷 羊,15
磔,crucifixion,石,口 石 舛 木 夕,16
碾,mortar; grind,石,衣 口 石 二 尸,15
碼,number; wharf; agate; yard (91.44 cm),石,口 石 馬 灬,15
磅,"become obstructed; pound (sterling, lb)",石,口 石 丷 方 立 亠 冖,15
磊,many stones,石,口 石,15
磬,upside-V-shaped gong,石,口 士 石 殳 尸 几 又,16
磧,expanse of sand; pebbly beach,石,貝 目 ハ 口 石 土 二 亠,16
磚,tile,石,口 十 寸 石 虫 田 亠 厶,16
磽,rocky; barren,石,口 石 土 儿,17
磴,stone steps; stone bridge,石,口 石 豆 丷 癶,17
礇,jewel,石,口 石 大 米 冂 釆,18
礒,rock; beach; shore,石,王 口 石 丷 羊 亅 戈,18
礑,bottom; base; slap; bang; all of a sudden,石,口 ⺌ 石 田 冖,18
礙,obstruct; hinder; block; deter,石,口 石 疋 矢 匕 マ 𠂉,19
礬,alum,石,口 石 大 木 爻,20
礫,small stones,石,口 石 白 木 冫,20
祀,enshrine; worship,示,礻 已,8
祠,small shrine,示,口 礻 亅 一,10
祗,respectful,示,氏 礻 一,10
祟,curse; haunt,示,｜ 山 示 二 小 凵,10
祚,imperial throne; happiness,示,｜ ノ 礻,10
祕,mysterious; secret; abstruse,示,ノ 心 礻 丶,10
祓,exorcise,示,ノ 一 礻 丶,9
祺,fortunate; blessed; peace of mind; security,示,甘 ハ 礻,13
祿,fief; allowance; pension; grant; happiness,示,水 礻 隶 彑,13
禊,Shinto purification ceremony,示,大 土 礻 亠 刀 二,14
禝,proper name,示,田 礻 儿 夂,15
禧,fortunate; auspicious,示,口 士 十 豆 丷 礻,17
齋,Buddhist food; room; religious purification; worship; avoid; alike,齊,小 齊 元 刀 氏 廾,17
禪,Zen Buddhism; silent meditation,示,｜ 一 口 田 日 礻,17
禮,social custom; manners; courtesy; rites,示,｜ 一 口 豆 日 丷 礻,18
禳,exorcise; drive away,示,｜ 衣 一 ハ 礻 亠 口,22
禹,name of a Chinese emperor,禸,ノ 虫 禸 冂,9
禺,long-tailed monkey,禸,田 日 禸 冂,9
秉,"take; cherish; sheaf; unit of volume (10 koku; 1,800 l)",禾,｜ ノ ヨ 一 禾 ハ,8
秕,empty grain or rice husk; chaff,禾,禾 比,9
秧,rice; seedlings,禾,禾 人 大 冂 冖,10
秬,a type of millet,禾,禾 巨,10
秡,damaged grain,禾,ノ 一 禾 丶,10
秣,fodder,禾,｜ 一 禾 ハ 木 亠,10
稈,straw; hollow stem,禾,禾 干 日,12
稍,slightly,禾,禾 月 ⺌,12
稘,straw; one year,禾,禾 甘 ハ,13
稙,early-maturing rice,禾,禾 十 目,13
稠,density,禾,禾 口 土 冂,13
稟,salary in rice,禾,禾 口 亠 囗,13
禀,salary in rice,示,口 示 二 小 亠 囗,13
稱,call; name; brand; address; say,禾,｜ 一 禾 爪 冂 十,14
稻,rice plant,禾,臼 禾 爪,15
稾,draft; manuscript; rough copy,禾,禾 口 高 亠 冂,15
稷,millet,禾,禾 田 儿 夂,15
穃,(ghost kanji),禾,禾 穴 口 ハ 𠆢 宀 谷,15
穗,ear (of grain); head; crest (of wave),禾,禾 心 虫 日,17
穉,infancy,禾,禾 牛 尸,17
穡,harvest,禾,禾 口 人 土 囗,18
穢,dirty,禾,ノ 禾 止 小 戈,18
穩,calm,禾,ヨ 禾 工 心 爪,19
龝,autumn,禾,禾 亀 乙 勹 田,21
穰,abundance,禾,｜ 衣 一 禾 口 亠,22
穹,sky,穴,弓 穴 儿 宀,8
穽,sunken trap,穴,｜ ノ 穴 二 儿 宀 井,9
窈,quiet,穴,穴 力 儿 宀 幺,10
窗,window; pane,穴,穴 儿 囗 宀 夕,12
窕,quiet,穴,穴 儿 冫 宀,11
窘,rebuke,穴,ノ ヨ 一 穴 口 儿 宀,12
窖,cellar,穴,ノ 穴 口 土 儿 宀,12
窩,cave; pouch,穴,穴 口 入 冂 宀,14
竈,hearth; kitchen stove,穴,穴 土 儿 宀 黽,21
窰,brick kiln; furnace; coal mine pit,穴,缶 穴 夕 儿 凵 宀,15
窶,emaciated,穴,｜ 一 穴 口 女 儿 宀,16
竅,hole; cave,穴,穴 白 方 儿 宀 攵 𠂉,18
竄,flee,穴,臼 穴 鼠 儿 宀,18
窿,vault (of sky); dome,穴,穴 生 儿 夂 宀 阝,16
邃,deep; profound,辵,穴 辶 丷 儿 宀 豕,18
竇,hole; doorway; ditch,穴,貝 目 ハ 穴 士 儿 冂 宀,20
竊,steal; secret; private; hushed,穴,穴 釆 米 卜 儿 冂 厶 宀 禸,22
竍,decalitre; (kokuji),立,十 立,7
竏,kilolitre; (kokuji),立,ノ 十 立,8
竕,decilitre; (kokuji),立,刀 丷 立,9
竓,millilitre; (kokuji),立,毛 立,9
站,stop; halt,立,口 卜 立,10
竚,stop; linger,立,立 亅 宀,10
竝,line up; be in a row; rank with; rival; equal,立,立,10
竡,hectolitre; (kokuji),立,一 白 立,11
竢,wait for; wait until; as soon as,立,矢 立 厶 𠂉,12
竦,crouch; cower,立,｜ 口 丷 木 立,12
竭,end; exhaust,立,日 立 勹 匕,14
竰,centilitre; (kokuji),立,里 立 厂,14
笂,quiver; arrow holder; (kokuji),竹,九 竹 丶 𠂉,9
笏,mace; baton; scepter,竹,ノ 竹 勹 勿 𠂉,10
笊,bamboo basket,竹,竹 爪 𠂉,10
笆,thorny bamboo; bamboo fence,竹,竹 巴 𠂉,10
笳,reed flute,竹,口 竹 力 𠂉,11
笘,whip; cane; wooden writing slate,竹,口 竹 卜 𠂉,11
笙,a reed instrument,竹,生 竹 𠂉,11
笞,whip; rod; scourge; crime punishable by flogging,竹,口 竹 厶 𠂉,11
笵,bamboo frame; law,竹,氵 竹 卩 𠂉,11
笨,coarse,竹,一 竹 木 𠂉,11
笶,arrow,竹,竹 矢 𠂉,11
筐,bamboo basket,竹,王 竹 匚 𠂉,12
筺,bamboo basket,竹,王 竹 匚 丶 𠂉,13
笄,hairpin; crossbar of anchor; metal rod on sheath,竹,｜ ノ 竹 二 廾 一 𠂉,10
筍,bamboo shoot,竹,竹 日 勹 𠂉,12
笋,bamboo shoot,竹,ノ ヨ 竹 𠂉,10
筌,fish trap; weir,竹,王 竹 𠆢 𠂉,12
筅,bamboo whisk for tea-making,竹,竹 土 儿 𠂉,12
筵,straw mat,竹,止 竹 廴 ノ 𠂉,13
筥,round basket,竹,口 竹 ノ 𠂉,13
筴,insert between; chopsticks; divining sticks; plan,竹,人 大 竹 𠂉,13
筧,waterpipe; flume,竹,見 竹 𠂉,13
筰,bamboo rope,竹,｜ ノ 亻 竹 𠂉,13
筱,dwarf bamboo; diminutive in person's name,竹,亻 竹 攵 ｜ 𠂉,13
筬,reed; guide for yarn on a loom,竹,ノ 竹 戈 𠂉,13
筮,(water) divining equipment,竹,工 人 竹 𠂉,13
箝,insert; fit into; attach (a clog thong),竹,甘 竹 扌 𠂉,14
箘,a type of bamboo; bamboo shoots; dice,竹,禾 竹 囗 𠂉,14
箟,a type of bamboo; bamboo shoots; dice,竹,竹 日 比 𠂉,14
箍,barrel hoop,竹,巾 竹 匚 扌 𠂉,14
箜,type of harp,竹,穴 工 竹 儿 宀 𠂉,14
箚,progress report,竹,刂 口 竹 𠆢 一 𠂉,14
箋,paper; label; letter; composition,竹,竹 戈 𠂉,14
箒,broom,竹,ヨ 巾 竹 冖 𠂉,14
箏,a koto,竹,ヨ 竹 爪 亅 𠂉,14
筝,koto,竹,ヨ 竹 亅 勹 𠂉,12
箙,quiver,竹,月 竹 又 卩 𠂉,14
篋,box,竹,人 大 竹 匚 𠂉,15
篁,bamboo grove,竹,王 竹 白 𠂉,15
篌,type of harp,竹,亻 竹 矢 ユ 𠂉,15
篏,inlay; set in; fall into; rugged,竹,甘 欠 竹 𠂉,15
箴,warning; counsel; presept; needle,竹,ノ 口 竹 戈 𠂉,15
篆,seal-style characters,竹,彑 竹 豕 𠂉,15
篝,campfire; fishing fire; beacon basket,竹,｜ 一 竹 二 冂 十 𠂉,16
篩,sieve; sift; screen,竹,巾 口 竹 ｜ 𠂉,16
簑,straw raincoat,竹,衣 一 竹 亠 口 𠂉,16
簔,straw raincoat,竹,衣 一 竹 亠 口 𠂉,17
篦,spatula; arrow shaft,竹,竹 比 囗 𠂉,16
篥,horn; flageolet,竹,西 竹 木 𠂉,16
籠,basket; devote oneself; seclude oneself; cage; coop; implied,竹,月 竹 立 𠂉,22
簀,rough mat (reeds),竹,貝 目 ハ 竹 土 二 亠 𠂉,17
